idade,energia_consumo_automatico_kwh,lote_composto,racao_consumo_g_ave,racao_referencia_g_ave,gmd_g,gmd_referencia_g,mortalidade_acumulada_percent,mortalidade_referencia_percent
41,441.291,1282-19,5094.0,8693.272,66.88116116135049,70.2431219512195,,0.15
42,217.854,1282-19,168.0,8907.392,,70.93566666666666,,0.15
0,49.322,1282-20,845.09,0.0,,0.0,,0.15
1,50.26,1282-20,1103.13,570.908,19.4868558049202,23.0,0.1798888787685581,0.15
2,33.109,1282-20,1360.74,745.501,16.875444024801254,17.526,0.1436617791257154,0.15
3,47.866,1282-20,1488.26,919.632,22.35936500628789,17.526,0.1392948483741322,0.15
4,47.75,1282-20,1745.29,1006.181,22.49912182246412,18.3425,0.1028641964020389,0.15
5,46.471,1282-20,2001.89,1180.008,22.65382439628186,20.148,0.0983891634632985,0.15
6,63.574,1282-20,2258.18,1353.615,24.33144279591202,22.087666666666667,0.0893163861216077,0.15
7,72.882,1282-20,2384.16,1526.315,24.63177441053919,23.624285714285715,0.1284138595244101,0.15
8,77.891,1282-20,2768.49,1612.201,25.012780719421286,25.46675,0.0826199710830101,0.05
9,76.533,1282-20,3217.4,1872.607,26.74459996542954,27.625555555555557,0.0551103354841672,0.05
10,119.307,1282-20,3663.37,2174.8,27.97503462798725,29.6792,0.1218502850836858,0.05
11,154.092,1282-20,1900.0,2477.22,29.57657117405016,31.861272727272727,0.082834790612057,0.05
12,96.712,1282-20,3176.0,2776.96,31.03957301041805,33.95183333333333,0.1613274948144734,0.05
13,129.957,1282-20,2714.0,3120.696,32.99674329750464,35.97553846153846,0.108437348591468,0.05
14,136.406,1282-20,433.0,3204.644,35.79400202567443,38.019,0.0854385073661848,0.05
15,114.15,1282-20,2505.0,3374.748,35.2278869509697,39.940266666666666,0.0924513474783895,0.05
16,127.233,1282-20,4395.0,3674.125,37.41588369880389,41.891625,0.0948525159051474,0.05
17,124.716,1282-20,4240.0,3928.561,38.05631837365405,43.80823529411765,0.1250839684047161,0.05
18,178.536,1282-20,4683.0,4444.038,38.907569949337415,45.63455555555556,0.0579427988689565,0.05
19,175.577,1282-20,5158.0,4742.32,40.54578121085712,47.44052631578948,0.0788643533123028,0.05
20,145.173,1282-20,5331.0,4911.918,42.32406037721319,49.2315,0.0580221412491006,0.05
21,161.716,1282-20,5717.0,5081.552,47.083181071591056,50.90228571428572,0.0534088798067991,0.05
22,174.551,1282-20,5845.0,5285.31,48.67890966888583,52.57172727272727,0.2187572725157086,0.05
23,220.821,1282-20,5385.0,5496.448,50.20743478630164,54.19,0.0675345241144826,0.05
24,145.441,1282-20,7361.0,5706.232,54.13456698382411,55.76541666666667,0.0862390453104605,0.05
25,169.875,1282-20,6747.0,5872.642,55.87200348818825,57.25896,0.0886483460084915,0.05
26,235.093,1282-20,7111.0,6167.52,56.47439673547655,58.72076923076923,0.0840532337146859,0.05
27,263.011,1282-20,1510.0,6420.9,57.615437782986334,60.15777777777778,0.0560669065084334,0.05
28,235.834,1282-20,5020.0,6672.276,56.54765123420441,61.52828571428572,0.0818311472726847,0.05
29,263.889,1282-20,7933.0,6836.64,58.46192523902228,62.84393103448276,0.0982938987572842,0.05
30,196.95,1282-20,7801.0,7001.816,59.68986817721663,64.10866666666666,0.0819787323745725,0.05
31,237.782,1282-20,7448.0,7125.389,60.38820837731101,65.36154838709678,0.0632807556190967,0.05
32,242.295,1282-20,8484.0,7249.31,62.20770686894215,66.536125,0.0562812184883802,0.05
33,284.769,1282-20,7406.0,7414.836,61.44338937282389,67.6729696969697,0.068052752616511,0.05
34,250.201,1282-20,8780.0,7534.005,62.03535645337856,68.77405882352942,0.1151180547398097,0.05
35,295.065,1282-20,9385.0,7615.018,62.64723119304121,69.81354285714286,0.0540642188895679,0.05
36,307.213,1282-20,8934.0,7735.182,63.17919527900156,70.79527777777778,0.0964683183925084,0.15
37,311.666,1282-20,7817.0,7899.234,63.322659933291526,71.75254054054054,0.0753490781511219,0.15
38,297.344,1282-20,8734.0,8059.23,62.360550578423954,72.66063157894737,0.1225923568380602,0.15
39,357.31,1282-20,6599.0,8179.34,61.75064612009807,73.54928205128205,0.0873053327041057,0.15
40,312.954,1282-20,9173.0,8342.359,60.86620601239751,74.36705,0.0779275981769665,0.15
41,287.549,1282-20,6104.0,8587.103,64.79296044101095,75.14380487804878,0.1087444741259072,0.15
42,136.562,1282-20,160.0,8760.128,,75.88466666666666,0.4392629879380758,0.15
0,129.684,1283-19,,0.0,,0.0,,0.15
1,194.563,1283-19,,597.545,25.01684935994858,21.5,0.0587403459153703,0.15
2,131.877,1283-19,,780.844,19.75168466932528,16.383,0.0718453365845162,0.15
3,133.924,1283-19,,963.879,19.262479169788783,16.383,0.0718969912198522,0.15
4,105.857,1283-19,,1055.056,20.278125948331144,17.14625,0.0588594349494244,0.15
5,111.385,1283-19,,1237.896,20.492309727152342,18.834,0.052346885360321,0.15
6,117.454,1283-19,,1419.304,21.33396632824421,20.647166666666667,0.1397868250917351,0.15
7,130.568,1283-19,,1600.97,22.634932331764094,22.083571428571428,0.0918193345284421,0.15
8,150.792,1283-19,,1691.159,23.3218622378685,23.805875,0.0765747040934649,0.05
9,147.646,1283-19,,1964.498,25.09644306651854,25.823888888888888,0.0459659414262575,0.05
10,170.687,1283-19,,2283.25,27.415005209897977,27.7436,0.0459870798204314,0.05
11,174.575,1283-19,,2601.993,29.04659767327225,29.783363636363635,0.0350500558610265,0.05
12,171.605,1283-19,,2920.704,30.06272157387659,31.737583333333333,0.0284862827592251,0.05
13,177.562,1283-19,,3284.208,31.25670039159472,33.62930769230769,0.0482308063313894,0.05
14,184.004,1283-19,,3373.956,33.98690591754964,35.5395,0.0438654208887134,0.05
15,140.401,1283-19,,3554.616,36.017429387372154,37.33546666666667,0.0482752567365926,0.05
16,173.239,1283-19,,3871.41,38.48403948300505,39.1595625,0.0570851446888859,0.05
17,138.357,1283-19,,4140.409,39.35795875118512,40.95117647058824,0.1032989736038154,0.05
18,121.14,1283-19,,4682.895,41.54486192796939,42.65838888888889,0.0747827999560101,0.05
19,183.727,1283-19,,4996.53,43.464415449382834,44.34657894736842,0.092464170134073,0.05
20,99.454,1283-19,,5174.232,45.83091396450888,46.02075,0.0771128932757557,0.05
